CODUSU;ANO4;TRIMESTRE;REGION;MAS_500;AGLOMERADO;PONDERA;CH03;CH04;CH06;CH10;NIVEL_ED;ESTADO;CAT_OCUP;PP07C;PP07H;PP3E_TOT;P21;TOT_P12;P47T;IPCF
TQRMNOP100000;2025;1;1;S;32;651;9;1;76;2;4;3;;;;;0;0;0;70300
TQRMNOP100001;2025;1;42;N;27;1195;1;2;18;1;5;1;3;1;1;44;-9;0;0;46800
TQRMNOP100002;2025;1;41;N;12;1603;3;2;18;2;1;3;;;;;0;0;0;367200
TQRMNOP100003;2025;1;40;N;22;1253;3;1;1;1;1;4;;;;;;;;73000
TQRMNOP100004;2025;1;40;N;22;1375;2;2;32;2;3;1;3;1;1;40;595000;0;595000;113900
TQRMNOP100005;2025;1;43;N;34;1073;1;2;28;1;4;1;2;2;2;32;271000;0;271000;169600
TQRMNOP100006;2025;1;43;S;17;1732;1;2;42;2;5;1;3;1;1;20;476000;50000;526000;68800
TQRMNOP100007;2025;1;1;S;33;1481;1;2;47;2;3;1;3;2;1;54;545000;0;545000;127500
TQRMNOP100008;2025;1;42;N;27;860;3;1;1;1;1;4;;;;;;;;301600
TQRMNOP100009;2025;1;1;S;33;1591;9;2;13;1;1;3;;;;;0;0;0;153800
TQRMNOP100010;2025;1;44;N;93;1288;1;2;18;2;4;3;;;;;0;0;0;161800
TQRMNOP100011;2025;1;43;S;36;1003;2;2;50;2;4;3;;;;;0;0;0;92700
TQRMNOP100012;2025;1;42;N;27;1734;3;2;23;2;5;1;3;2;2;27;371000;0;371000;85200
TQRMNOP100013;2025;1;43;S;20;667;1;2;28;2;6;1;3;1;1;37;620000;0;620000;163300
TQRMNOP100014;2025;1;41;N;12;1462;1;2;22;2;5;3;;;;;0;30000;30000;158000
TQRMNOP100015;2025;1;43;S;20;575;3;1;17;1;1;3;;;;;0;0;0;213700
TQRMNOP100016;2025;1;40;N;9;1372;3;2;6;1;1;4;;;;;;;;84700
TQRMNOP100017;2025;1;40;N;23;850;9;2;4;1;2;4;;;;;;;;394400
TQRMNOP100018;2025;1;1;S;33;1295;1;1;32;2;3;1;3;1;1;15;296000;0;296000;93700
TQRMNOP100019;2025;1;1;S;32;1292;1;1;40;2;5;1;2;1;1;31;940000;0;940000;147100
TQRMNOP100020;2025;1;41;N;15;784;1;1;30;1;6;1;3;1;1;48;594000;0;594000;171600
TQRMNOP100021;2025;1;40;S;7;768;3;2;73;2;2;3;;;;;0;0;0;127500
TQRMNOP100022;2025;1;42;S;10;983;1;2;55;1;6;3;;;;;0;0;0;531400
TQRMNOP100023;2025;1;1;S;33;1283;3;1;34;2;4;1;3;1;1;48;-9;0;0;96600
TQRMNOP100024;2025;1;40;N;23;847;3;1;12;1;1;3;;;;;0;0;0;247900
TQRMNOP100025;2025;1;40;N;23;1050;3;1;11;1;1;3;;;;;0;0;0;83300
TQRMNOP100026;2025;1;1;S;32;1068;1;1;57;2;4;1;3;1;1;67;1314000;0;1314000;83600
TQRMNOP100027;2025;1;42;N;27;1565;3;1;3;1;1;4;;;;;;;;185800
TQRMNOP100028;2025;1;40;S;7;1172;2;1;53;2;2;1;1;2;2;30;165000;307000;472000;246500
TQRMNOP100029;2025;1;1;S;32;370;2;1;78;2;1;3;;;;;0;0;0;234400
TQRMNOP100030;2025;1;1;S;32;1245;2;1;58;2;3;1;2;3;2;16;319000;60000;379000;86200
TQRMNOP100031;2025;1;43;S;17;925;1;1;28;2;4;1;3;1;1;35;390000;0;390000;81800
TQRMNOP100032;2025;1;43;N;38;1439;1;1;47;2;6;1;2;1;1;56;933000;0;933000;237000
TQRMNOP100033;2025;1;42;S;10;811;2;2;33;2;1;3;;;;;0;0;0;63300
TQRMNOP100034;2025;1;40;S;7;728;3;2;25;2;6;1;3;1;1;35;990000;0;990000;37600
TQRMNOP100035;2025;1;44;N;4;1060;2;1;58;2;4;1;3;1;1;27;870000;0;870000;90100
TQRMNOP100036;2025;1;41;S;8;1394;2;2;67;2;4;3;;;;;0;0;0;163200
TQRMNOP100037;2025;1;40;N;9;1328;2;1;66;1;3;3;;;;;0;0;0;64000
TQRMNOP100038;2025;1;43;S;19;1228;3;1;57;2;3;1;3;1;1;71;1117000;0;1117000;150100
TQRMNOP100039;2025;1;40;N;9;2522;1;2;69;2;4;3;;;;;0;0;0;146600
TQRMNOP100040;2025;1;43;S;20;1338;1;1;47;2;6;1;2;1;1;51;2532000;167000;2699000;300100
TQRMNOP100041;2025;1;40;N;22;1345;1;2;24;1;4;1;3;2;2;41;-9;0;0;187700
TQRMNOP100042;2025;1;1;S;32;1561;2;1;30;2;4;3;;;;;0;0;0;136000
TQRMNOP100043;2025;1;43;S;36;819;1;2;80;2;6;3;;;;;0;0;0;192400
TQRMNOP100044;2025;1;1;S;32;1806;6;1;84;2;4;3;;;;;0;0;0;106000
TQRMNOP100045;2025;1;41;N;12;1260;1;1;92;2;5;3;;;;;0;0;0;108600
TQRMNOP100046;2025;1;42;S;10;2515;6;1;34;2;4;3;;;;;0;0;0;171300
TQRMNOP100047;2025;1;1;S;33;1456;1;1;41;2;4;1;2;3;2;27;523000;32000;555000;110700
TQRMNOP100048;2025;1;43;S;30;478;1;2;41;2;1;1;3;3;2;28;310000;0;310000;158200
TQRMNOP100049;2025;1;41;N;12;1191;3;2;14;1;1;3;;;;;0;0;0;341100
TQRMNOP100050;2025;1;42;S;10;1105;3;2;11;1;3;3;;;;;0;72000;72000;165200
TQRMNOP100051;2025;1;40;N;23;1161;1;2;51;2;4;1;2;1;1;31;322000;0;322000;129400
TQRMNOP100052;2025;1;40;N;23;1442;5;2;0;1;1;4;;;;;;;;166100
TQRMNOP100053;2025;1;41;N;12;2090;2;1;59;2;7;1;3;2;2;10;-9;0;0;245900
TQRMNOP100054;2025;1;41;N;12;733;1;2;56;2;2;1;3;2;2;35;289000;0;289000;116500
TQRMNOP100055;2025;1;42;S;10;1759;1;2;48;2;6;2;;;;;0;0;0;188000
TQRMNOP100056;2025;1;42;N;27;1334;1;1;42;2;1;1;3;1;1;45;585000;0;585000;141500
TQRMNOP100057;2025;1;40;S;7;862;1;2;56;2;4;1;3;2;2;42;749000;0;749000;145500
TQRMNOP100058;2025;1;1;S;33;1389;2;2;63;2;5;3;;;;;0;0;0;93600
TQRMNOP100059;2025;1;43;S;19;1204;3;1;12;1;2;3;;;;;0;0;0;93600
TQRMNOP100060;2025;1;41;N;12;445;1;1;24;2;4;3;;;;;0;0;0;179800
TQRMNOP100061;2025;1;40;S;7;950;1;1;47;2;2;3;;;;;0;0;0;209800
TQRMNOP100062;2025;1;41;N;15;856;6;1;48;2;5;3;;;;;0;0;0;254700
TQRMNOP100063;2025;1;1;S;32;1669;1;1;55;2;4;1;3;1;1;44;1053000;0;1053000;333500
TQRMNOP100064;2025;1;43;S;36;1634;2;1;40;2;3;1;3;1;1;35;624000;0;624000;207700
